Placa;Data Posicao;Velocidade;Ignicao;Bloqueio;Bateria;Rua;Cidade;Estado;Latitude/Longitute;Memoria;Odometro;RPM;Temperatura;Temperatura;Satelite;Alerta Interno;Sinal GPS
ITG7322;31/01/2018 18:23:58;5;Ligada;Nao;27;Sem nome;Mairiporã;SP;-23.3305,-46.5778;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:21:58;0;Ligada;Nao;27;Sem nome;Mairiporã;SP;-23.3301,-46.5779;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:19:58;58;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.3148,-46.5824;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:17:58;57;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.3002,-46.5720;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:15:58;56;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.2892,-46.5813;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:13:58;79;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.2810,-46.5868;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:11:58;66;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.2590,-46.5899;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:09:58;68;Ligada;Nao;27;Rod Fernão Dias;Mairiporã;SP;-23.2423,-46.5977;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:07:58;77;Ligada;Nao;28;Rod Fernão Dias;Atibaia;SP;-23.2239,-46.5972;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:05:59;76;Ligada;Nao;27;Rod Fernão Dias;Atibaia;SP;-23.2018,-46.5892;Nao;0;;-125;-125;Nao;Nao;Valido
